id,x,y,z,type
615,-76.0,18.4,0.0,MM
616,-142.8,18.0,0.0,MM
617,-162.8,18.4,0.0,MM
618,-249.2,18.0,0.0,MM
619,292.4,19.6,0.0,MM
620,214.8,20.0,0.0,MM
621,181.6,19.6,0.0,MM
622,114.4,20.4,0.0,MM
623,-181.6,21.2,0.0,MM
624,-292.4,21.2,0.0,MM
625,322.0,21.6,0.0,MM
626,94.0,22.0,0.0,MM
627,-94.0,22.0,0.0,MM
628,-114.8,21.6,0.0,MM
629,-214.0,21.6,0.0,MM
630,237.2,23.2,0.0,MM
631,152.4,23.6,0.0,MM
632,133.2,23.6,0.0,MM
633,-322.0,23.6,0.0,MM
634,276.4,24.8,0.0,MM
635,200.8,24.8,0.0,MM
636,-133.2,24.8,0.0,MM
637,-237.6,24.4,0.0,MM
638,170.8,25.2,0.0,MM
639,-152.4,25.2,0.0,MM
640,-200.4,25.2,0.0,MM
641,83.2,26.0,0.0,MM
642,-82.8,26.0,0.0,MM
643,-171.6,26.0,0.0,MM
644,-276.8,26.0,0.0,MM
645,307.6,27.2,0.0,MM
646,259.6,27.6,0.0,MM
647,72.4,27.6,0.0,MM
648,123.2,28.4,0.0,MM
649,-72.4,28.4,0.0,MM
650,225.2,29.6,0.0,MM
651,189.6,29.6,0.0,MM
652,-122.8,29.2,0.0,MM
653,-260.0,29.6,0.0,MM
654,-307.2,29.6,0.0,MM
655,-224.8,30.0,0.0,MM
656,336.8,30.4,0.0,MM
657,160.4,31.2,0.0,MM
658,-190.0,30.8,0.0,MM
659,111.6,31.6,0.0,MM
660,139.6,32.4,0.0,MM
661,-112.4,32.4,0.0,MM
662,-160.8,32.4,0.0,MM
663,-336.4,32.4,0.0,MM
664,291.6,33.2,0.0,MM
665,247.2,33.2,0.0,MM
666,211.2,33.2,0.0,MM
667,-140.4,33.2,0.0,MM
668,179.6,34.0,0.0,MM
669,101.2,34.0,0.0,MM
670,-247.2,34.0,0.0,MM
671,83.6,34.8,0.0,MM
672,-83.6,34.8,0.0,MM
673,-101.2,34.8,0.0,MM
674,-179.2,34.8,0.0,MM
675,-211.6,34.8,0.0,MM
676,-292.4,34.8,0.0,MM
677,320.0,36.4,0.0,MM
678,275.2,37.2,0.0,MM
679,234.8,37.6,0.0,MM
680,198.8,37.6,0.0,MM
681,129.2,37.6,0.0,MM
682,78.0,37.2,0.0,MM
683,-77.2,37.6,0.0,MM
684,-129.2,37.6,0.0,MM
685,66.8,38.0,0.0,MM
686,-66.8,38.0,0.0,MM
687,-320.8,38.0,0.0,MM
688,-198.4,38.8,0.0,MM
689,-234.8,38.8,0.0,MM
690,168.4,39.2,0.0,MM
691,-169.2,39.6,0.0,MM
692,-274.8,39.2,0.0,MM
693,305.2,41.2,0.0,MM
694,257.6,41.2,0.0,MM
695,118.8,41.2,0.0,MM
696,222.0,42.4,0.0,MM
697,187.6,42.4,0.0,MM
698,-118.8,42.0,0.0,MM
699,-258.0,42.4,0.0,MM
700,158.0,42.8,0.0,MM
701,107.6,43.6,0.0,MM
702,-158.0,43.6,0.0,MM
703,-186.8,43.2,0.0,MM
704,-222.4,43.2,0.0,MM
705,-304.8,43.6,0.0,MM
706,334.0,44.8,0.0,MM
707,-107.6,44.4,0.0,MM
708,289.2,45.2,0.0,MM
709,245.2,45.2,0.0,MM
710,146.8,45.2,0.0,MM
711,96.0,45.2,0.0,MM
712,210.0,46.0,0.0,MM
713,-96.0,46.0,0.0,MM
714,-146.4,46.0,0.0,MM
715,-244.8,46.0,0.0,MM
716,135.6,47.6,0.0,MM
717,83.6,47.6,0.0,MM
718,60.4,47.6,0.0,MM
719,-209.2,47.6,0.0,MM
720,-334.8,47.6,0.0,MM
721,175.6,48.4,0.0,MM
722,72.0,48.0,0.0,MM
723,-60.4,48.0,0.0,MM
724,-71.6,48.4,0.0,MM
725,-82.8,48.0,0.0,MM
726,-134.8,48.4,0.0,MM
727,-290.0,48.0,0.0,MM
728,-176.0,49.2,0.0,MM
729,272.8,50.0,0.0,MM
730,318.0,50.8,0.0,MM
731,195.6,50.8,0.0,MM
