id,x,y
951,213.751,-228.647
952,192.702,-246.647
953,170.145,-262.716
954,146.255,-276.728
955,121.22,-288.573
956,95.237,-298.159
957,68.507,-305.411
958,41.242,-310.271
959,13.653,-312.702
960,-14.559,328.678
961,-43.562,326.103
962,-72.224,320.975
963,-100.32,313.332
964,-127.631,303.235
965,-153.942,290.763
966,-179.047,276.013
967,-202.749,259.102
968,-224.864,240.161
969,-245.217,219.339
970,-263.65,196.799
971,-280.017,172.717
972,-294.192,147.283
973,-306.062,120.695
974,-315.534,93.162
975,-322.536,64.899
976,-327.01,36.127
977,-328.924,7.073
978,-328.261,-22.037
979,-325.027,-50.974
980,-319.247,-79.512
981,-310.967,-107.427
982,-300.251,-134.5
983,-287.183,-160.52
984,-271.866,-185.283
985,-254.419,-208.595
986,-234.98,-230.272
987,-213.7,-250.147
988,-190.746,-268.061
989,-166.298,-283.876
990,-140.548,-297.468
991,-113.697,-308.73
992,-85.955,-317.573
993,-57.54,-323.929
994,-28.674,-327.748
995,14.559,328.678
996,43.562,326.103
997,72.224,320.975
998,100.32,313.332
999,127.631,303.235
1000,153.942,290.763
1001,179.047,276.013
1002,202.749,259.102
1003,224.864,240.161
1004,245.217,219.339
1005,263.65,196.799
1006,280.017,172.717
1007,294.192,147.283
1008,306.062,120.695
1009,315.534,93.162
1010,322.536,64.899
1011,327.01,36.127
1012,328.924,7.073
1013,328.261,-22.037
1014,325.027,-50.974
1015,319.247,-79.512
1016,310.967,-107.427
1017,300.251,-134.5
1018,287.183,-160.52
1019,271.866,-185.283
1020,254.419,-208.595
1021,234.98,-230.272
1022,213.7,-250.147
1023,190.746,-268.061
1024,166.298,-283.876
1025,140.548,-297.468
1026,113.697,-308.73
1027,85.955,-317.573
1028,57.54,-323.929
1029,28.674,-327.748
1030,0,343
1031,-30.32,341.657
1032,-60.403,337.64
1033,-90.013,330.978
1034,-118.919,321.726
1035,-146.893,309.954
1036,-173.717,295.756
1037,-199.181,279.242
1038,-223.086,260.541
1039,-245.244,239.801
1040,-265.481,217.183
1041,-283.641,192.865
1042,-299.579,167.037
1043,-313.172,139.901
1044,-324.313,111.67
1045,-332.915,82.564
1046,-338.91,52.812
1047,-342.252,22.647
1048,-342.914,-7.696
1049,-340.891,-37.979
1050,-336.199,-67.964
1051,-328.875,-97.417
1052,-318.976,-126.108
1053,-306.58,-153.811
1054,-291.783,-180.31
1055,-274.702,-205.397
1056,-255.47,-228.876
1057,-234.238,-250.562
1058,-211.172,-270.288
1059,-186.452,-287.897
1060,-160.273,-303.252
1061,-132.839,-316.232
1062,-104.365,-326.737
1063,-75.073,-334.683
1064,-45.194,-340.01
1065,-14.961,-342.674
1066,30.32,341.657
1067,60.403,337.64
1068,90.013,330.978
1069,118.919,321.726
1070,146.893,309.954
1071,173.717,295.756
1072,199.181,279.242
1073,223.086,260.541
1074,245.244,239.801
1075,265.481,217.183
1076,283.641,192.865
1077,299.579,167.037
1078,313.172,139.901
1079,324.313,111.67
1080,332.915,82.564
1081,338.91,52.812
1082,342.252,22.647
1083,342.914,-7.696
1084,340.891,-37.979
1085,336.199,-67.964
1086,328.875,-97.417
1087,318.976,-126.108
1088,306.58,-153.811
1089,291.783,-180.31
1090,274.702,-205.397
1091,255.47,-228.876
1092,234.238,-250.562
1093,211.172,-270.288
1094,186.452,-287.897
1095,160.273,-303.252
1096,132.839,-316.232
1097,104.365,-326.737
1098,75.073,-334.683
1099,45.194,-340.01
1100,14.961,-342.674
1101,-15.93,359.647
1102,-47.666,356.83
1103,-79.029,351.218
1104,-109.773,342.856
1105,-139.657,331.807
1106,-168.447,318.16
1107,-195.917,302.021
1108,-221.853,283.516
1109,-246.052,262.79
1110,-268.323,240.006
1111,-288.492,215.342
1112,-306.402,188.992
1113,-321.912,161.161
1114,-334.9,132.068
1115,-345.265,101.94
1116,-352.926,71.014
1117,-357.823,39.532
1118,-359.917,7.74
1119,-359.192,-24.113
1120,-355.653,-55.777
1121,-349.328,-87.004
1122,-340.268,-117.549
1123,-328.542,-147.174
1124,-314.243,-175.645
1125,-297.483,-202.741
1126,-278.392,-228.25
1127,-257.121,-251.97
1128,-233.836,-273.717
1129,-208.719,-293.319
1130,-181.968,-310.625
1131,-153.791,-325.497
1132,-124.41,-337.82
1133,-94.054,-347.497
1134,-62.962,-354.451
1135,-31.376,-358.63
1136,15.93,359.647
1137,47.666,356.83
1138,79.029,351.218
1139,109.773,342.856
1140,139.657,331.807
1141,168.447,318.16
1142,195.917,302.021
1143,221.853,283.516
1144,246.052,262.79
1145,268.323,240.006
1146,288.492,215.342
1147,306.402,188.992
1148,321.912,161.161
1149,334.9,132.068
1150,345.265,101.94
1151,352.926,71.014
1152,357.823,39.532
1153,359.917,7.74
1154,359.192,-24.113
1155,355.653,-55.777
1156,349.328,-87.004
1157,340.268,-117.549
1158,328.542,-147.174
1159,314.243,-175.645
1160,297.483,-202.741
1161,278.392,-228.25
1162,257.121,-251.97
1163,233.836,-273.717
1164,208.719,-293.319
1165,181.968,-310.625
1166,153.791,-325.497
1167,124.41,-337.82
1168,94.054,-347.497
1169,62.962,-354.451
1170,31.376,-358.63
1171,0,375
1172,-33.149,373.532
1173,-66.039,369.139
1174,-98.411,361.857
1175,-130.013,351.741
1176,-160.597,338.871
1177,-189.924,323.348
1178,-217.764,305.293
1179,-243.898,284.848
1180,-268.123,262.173
1181,-290.249,237.445
1182,-310.103,210.859
1183,-327.528,182.621
1184,-342.389,152.953
1185,-354.569,122.088
1186,-363.974,90.267
1187,-370.528,57.739
1188,-374.182,24.759
1189,-374.906,-8.414
1190,-372.694,-41.522
1191,-367.565,-74.305
1192,-359.557,-106.506
1193,-348.735,-137.873
1194,-335.182,-168.16
1195,-319.005,-197.131
1196,-300.33,-224.559
1197,-279.304,-250.228
1198,-256.091,-273.939
1199,-230.873,-295.504
1200,-203.847,-314.756
1201,-175.226,-331.543
1202,-145.232,-345.735
1203,-114.101,-357.22
1204,-82.077,-365.907
1205,-49.411,-371.731
1206,-16.357,-374.643
1207,33.149,373.532
1208,66.039,369.139
1209,98.411,361.857
1210,130.013,351.741
1211,160.597,338.871
1212,189.924,323.348
1213,217.764,305.293
1214,243.898,284.848
1215,268.123,262.173
1216,290.249,237.445
1217,310.103,210.859
1218,327.528,182.621
1219,342.389,152.953
1220,354.569,122.088
1221,363.974,90.267
1222,370.528,57.739
1223,374.182,24.759
1224,374.906,-8.414
1225,372.694,-41.522
1226,367.565,-74.305
1227,359.557,-106.506
1228,348.735,-137.873
1229,335.182,-168.16
1230,319.005,-197.131
1231,300.33,-224.559
1232,279.304,-250.228
1233,256.091,-273.939
1234,230.873,-295.504
1235,203.847,-314.756
1236,175.226,-331.543
1237,145.232,-345.735
1238,114.101,-357.22
1239,82.077,-365.907
1240,49.411,-371.731
1241,16.357,-374.643
1242,-17.391,392.615
1243,-52.036,389.54
1244,-86.273,383.413
1245,-119.835,374.284
1246,-152.459,362.223
1247,-183.888,347.325
1248,-213.876,329.706
1249,-242.19,309.505
1250,-268.606,286.879
1251,-292.919,262.007
1252,-314.937,235.082
